instance,source,n,m,planar,read_ms,planarity_ms
/home/mateu/benchmarks/rome/rome/grafo5970.36.graphml,file,36,46,1,0,0
/home/mateu/benchmarks/rome/rome/grafo1741.16.graphml,file,16,16,1,0,0
/home/mateu/benchmarks/rome/rome/grafo3786.41.graphml,file,41,50,1,0,0
/home/mateu/benchmarks/rome/rome/grafo4943.61.graphml,file,61,74,1,0,0
/home/mateu/benchmarks/rome/rome/grafo3937.58.graphml,file,58,70,1,0,0
/home/mateu/benchmarks/rome/rome/grafo6560.37.graphml,file,37,42,1,0,0
/home/mateu/benchmarks/rome/rome/grafo1153.21.graphml,file,21,23,1,0,0
/home/mateu/benchmarks/rome/rome/grafo375.17.graphml,file,17,19,1,0,0
/home/mateu/benchmarks/rome/rome/grafo227.39.graphml,file,39,47,1,0,0
/home/mateu/benchmarks/rome/rome/grafo1657.10.graphml,file,10,15,1,0,0
/home/mateu/benchmarks/rome/rome/grafo6888.40.graphml,file,40,44,1,0,0
/home/mateu/benchmarks/rome/rome/grafo890.13.graphml,file,13,16,1,0,0
/home/mateu/benchmarks/rome/rome/grafo2591.15.graphml,file,15,23,1,0,0
/home/mateu/benchmarks/rome/rome/grafo378.14.graphml,file,14,17,1,0,0
/home/mateu/benchmarks/rome/rome/grafo10731.32.graphml,file,32,35,1,0,0
/home/mateu/benchmarks/rome/rome/grafo11454.31.graphml,file,31,36,1,0,0
/home/mateu/benchmarks/rome/rome/grafo893.17.graphml,file,17,21,1,0,0
/home/mateu/benchmarks/rome/rome/grafo591.25.graphml,file,25,26,1,0,0
/home/mateu/benchmarks/rome/rome/grafo1004.11.graphml,file,11,12,1,0,0
/home/mateu/benchmarks/rome/rome/grafo780.15.graphml,file,15,17,1,0,0
/home/mateu/benchmarks/rome/rome/grafo1161.17.graphml,file,17,18,1,0,0
/home/mateu/benchmarks/rome/rome/grafo1437.52.graphml,file,52,59,1,0,0
/home/mateu/benchmarks/rome/rome/grafo11207.34.graphml,file,34,38,1,0,0
/home/mateu/benchmarks/rome/rome/grafo5943.39.graphml,file,39,49,1,0,0
/home/mateu/benchmarks/rome/rome/grafo2572.28.graphml,file,28,34,1,0,0
/home/mateu/benchmarks/rome/rome/grafo631.16.graphml,file,16,17,1,0,0
/home/mateu/benchmarks/rome/rome/grafo10233.34.graphml,file,34,39,1,0,0
/home/mateu/benchmarks/rome/rome/grafo1596.26.graphml,file,26,26,1,0,0
/home/mateu/benchmarks/rome/rome/grafo404.12.graphml,file,12,13,1,0,0
/home/mateu/benchmarks/rome/rome/grafo2753.18.graphml,file,18,24,1,0,0
/home/mateu/benchmarks/rome/rome/grafo2436.28.graphml,file,28,37,1,0,0
/home/mateu/benchmarks/rome/rome/grafo1835.11.graphml,file,11,15,1,0,0
/home/mateu/benchmarks/rome/rome/grafo1239.28.graphml,file,28,31,1,0,0
/home/mateu/benchmarks/rome/rome/grafo2958.27.graphml,file,27,32,1,0,0
/home/mateu/benchmarks/rome/rome/grafo245.21.graphml,file,21,22,1,0,0
/home/mateu/benchmarks/rome/rome/grafo2882.17.graphml,file,17,18,1,0,0
/home/mateu/benchmarks/rome/rome/grafo6272.67.graphml,file,67,73,1,0,0
/home/mateu/benchmarks/rome/rome/grafo2161.29.graphml,file,29,34,1,0,0
/home/mateu/benchmarks/rome/rome/grafo2647.17.graphml,file,17,19,1,0,0
/home/mateu/benchmarks/rome/rome/grafo7647.42.graphml,file,42,46,1,0,0
/home/mateu/benchmarks/rome/rome/grafo1326.27.graphml,file,27,29,1,0,0
/home/mateu/benchmarks/rome/rome/grafo1978.37.graphml,file,37,47,1,0,0
/home/mateu/benchmarks/rome/rome/grafo276.17.graphml,file,17,20,1,0,0
/home/mateu/benchmarks/rome/rome/grafo1178.29.graphml,file,29,30,1,0,0
/home/mateu/benchmarks/rome/rome/grafo530.13.graphml,file,13,13,1,0,0
/home/mateu/benchmarks/rome/rome/grafo702.12.graphml,file,12,14,1,0,0
/home/mateu/benchmarks/rome/rome/grafo333.19.graphml,file,19,22,1,0,0
/home/mateu/benchmarks/rome/rome/grafo5201.53.graphml,file,53,66,1,0,0
/home/mateu/benchmarks/rome/rome/grafo1693.12.graphml,file,12,13,1,0,0
/home/mateu/benchmarks/rome/rome/grafo2756.21.graphml,file,21,26,1,0,0
/home/mateu/benchmarks/rome/rome/grafo854.12.graphml,file,12,11,1,0,0
/home/mateu/benchmarks/rome/rome/grafo2508.24.graphml,file,24,26,1,0,0
/home/mateu/benchmarks/rome/rome/grafo6788.55.graphml,file,55,60,1,0,0
/home/mateu/benchmarks/rome/rome/grafo3040.44.graphml,file,44,50,1,0,0
/home/mateu/benchmarks/rome/rome/grafo1087.14.graphml,file,14,19,1,0,0
/home/mateu/benchmarks/rome/rome/grafo3015.35.graphml,file,35,38,1,0,0
/home/mateu/benchmarks/rome/rome/grafo552.27.graphml,file,27,29,1,0,0
/home/mateu/benchmarks/rome/rome/grafo1631.16.graphml,file,16,21,1,0,0
/home/mateu/benchmarks/rome/rome/grafo2759.16.graphml,file,16,18,1,0,0
/home/mateu/benchmarks/rome/rome/grafo504.25.graphml,file,25,29,1,0,0
/home/mateu/benchmarks/rome/rome/grafo1206.29.graphml,file,29,36,1,0,0
/home/mateu/benchmarks/rome/rome/grafo6677.37.graphml,file,37,43,1,0,0
/home/mateu/benchmarks/rome/rome/grafo1282.27.graphml,file,27,33,1,0,0
/home/mateu/benchmarks/rome/rome/grafo5522.35.graphml,file,35,40,1,0,0
/home/mateu/benchmarks/rome/rome/grafo9880.32.graphml,file,32,40,1,0,0
/home/mateu/benchmarks/rome/rome/grafo7024.45.graphml,file,45,50,1,0,0
/home/mateu/benchmarks/rome/rome/grafo2339.14.graphml,file,14,15,1,0,0
/home/mateu/benchmarks/rome/rome/grafo2859.37.graphml,file,37,41,1,0,0
